Variable,Model,Mean_Abs_Deviation,Std_Deviation,Flagged
V1,GPT-4o,0.4286,0.6804,False
V1,claude-haiku-4-5,0.4321,0.6702,False
V1,DeepSeek-V3,0.4808,0.6846,False
V1,GPT-4o-mini,0.4111,0.6925,False
V1,Llama-3.3-70B,0.3798,0.6599,False
V1,Mistral-7B,0.3763,0.6573,False
V1,Llama-3.2-3B,0.7526,0.7865,False
V2,GPT-4o,0.3275,0.5625,False
V2,claude-haiku-4-5,0.1707,0.444,False
V2,DeepSeek-V3,0.1289,0.3685,False
V2,GPT-4o-mini,0.4355,0.6232,False
V2,Llama-3.3-70B,0.4077,0.6543,False
V2,Mistral-7B,0.4111,0.6427,False
V2,Llama-3.2-3B,0.9373,0.8513,False
V3,GPT-4o,0.115,0.3484,False
V3,claude-haiku-4-5,0.0662,0.2533,False
V3,DeepSeek-V3,0.0662,0.2667,False
V3,GPT-4o-mini,0.1115,0.3436,False
V3,Llama-3.3-70B,0.0697,0.2755,False
V3,Mistral-7B,0.0801,0.3062,False
V3,Llama-3.2-3B,0.6899,0.817,False
V4,GPT-4o,0.0767,0.6301,False
V4,claude-haiku-4-5,0.0523,0.604,False
V4,DeepSeek-V3,0.0592,0.6098,False
V4,GPT-4o-mini,0.1882,0.7212,False
V4,Llama-3.3-70B,0.23,0.7542,False
V4,Mistral-7B,0.2404,0.7681,False
V4,Llama-3.2-3B,0.8153,1.045,False
V5,GPT-4o,0.4704,0.7119,False
V5,claude-haiku-4-5,0.3345,0.6293,False
V5,DeepSeek-V3,0.4843,0.7569,False
V5,GPT-4o-mini,0.6272,0.8502,False
V5,Llama-3.3-70B,0.4808,0.7755,False
V5,Mistral-7B,0.4739,0.7665,False
V5,Llama-3.2-3B,0.6899,0.8908,False
V6,GPT-4o,0.4774,0.74,False
V6,claude-haiku-4-5,0.3937,0.6362,False
V6,DeepSeek-V3,0.4251,0.7077,False
V6,GPT-4o-mini,0.439,0.7221,False
V6,Llama-3.3-70B,0.5261,0.8235,False
V6,Mistral-7B,0.5087,0.8176,False
V6,Llama-3.2-3B,0.6272,0.888,False
V7,GPT-4o,0.3868,0.6089,False
V7,claude-haiku-4-5,0.2265,0.4971,False
V7,DeepSeek-V3,0.2962,0.5748,False
V7,GPT-4o-mini,0.4913,0.7291,False
V7,Llama-3.3-70B,0.4948,0.7111,False
V7,Mistral-7B,0.4774,0.7111,False
V7,Llama-3.2-3B,0.6237,0.8628,False
V8,GPT-4o,0.4983,0.7354,False
V8,claude-haiku-4-5,0.5714,0.715,False
V8,DeepSeek-V3,0.6167,0.7146,False
V8,GPT-4o-mini,0.5296,0.7349,False
V8,Llama-3.3-70B,0.885,0.8103,False
V8,Mistral-7B,0.8746,0.8149,False
V8,Llama-3.2-3B,0.7596,0.9002,False
