Variable,Model_A,Model_B,Krippendorff_alpha
V1,GPT-4o,claude-haiku-4-5,0.8019
V1,GPT-4o,Llama-3.2-3B,0.0808
V1,claude-haiku-4-5,Llama-3.2-3B,0.0418
V2,GPT-4o,claude-haiku-4-5,0.3425
V2,GPT-4o,Llama-3.2-3B,0.1945
V2,claude-haiku-4-5,Llama-3.2-3B,-0.1265
V3,GPT-4o,claude-haiku-4-5,0.1897
V3,GPT-4o,Llama-3.2-3B,-0.0636
V3,claude-haiku-4-5,Llama-3.2-3B,-0.2549
V4,GPT-4o,claude-haiku-4-5,-0.0204
V4,GPT-4o,Llama-3.2-3B,-0.214
V4,claude-haiku-4-5,Llama-3.2-3B,-0.2617
V5,GPT-4o,claude-haiku-4-5,0.3578
V5,GPT-4o,Llama-3.2-3B,0.5821
V5,claude-haiku-4-5,Llama-3.2-3B,0.1211
V6,GPT-4o,claude-haiku-4-5,0.0664
V6,GPT-4o,Llama-3.2-3B,0.5955
V6,claude-haiku-4-5,Llama-3.2-3B,-0.0748
V7,GPT-4o,claude-haiku-4-5,0.468
V7,GPT-4o,Llama-3.2-3B,0.4904
V7,claude-haiku-4-5,Llama-3.2-3B,0.2675
V8,GPT-4o,claude-haiku-4-5,0.6542
V8,GPT-4o,Llama-3.2-3B,0.4597
V8,claude-haiku-4-5,Llama-3.2-3B,0.5633
